Started,County,AcresBurned,Injuries,Fatalities,StructuresDestroyed,StructuresDamaged,PropetyValue Damage,Drought Index,Precipitation,Temperature,Heating Degree Days,Cooling Degree Days
201901,Humboldt,30.0,0.0,0.0,0.0,0.0,0.0,0.23,5.23,46.1,474,0
201910,Santaclara,29.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.16,58.8,141,36
201908,Kern,29.0,0.0,0.0,0.0,0.0,0.0,-0.34,0.13,76.8,0,284
201910,Lake,25.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.16,58.8,141,36
201909,Fresno,25.0,0.0,0.0,0.0,0.0,0.0,-0.16,0.61,68.9,23,155
201907,Contracosta,24.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.08,75.5,3,244
201906,Solano,24.0,0.0,0.0,0.0,0.0,0.0,2.97,0.09,71.1,32,134
201906,Contracosta,23.0,0.0,0.0,0.0,0.0,0.0,2.97,0.09,71.1,32,134
201905,Sandiego,22.0,0.0,0.0,0.0,0.0,0.0,2.76,2.5,58.6,240,14
201908,Tuolumne,21.0,0.0,0.0,0.0,0.0,0.0,-0.34,0.13,76.8,0,284
201908,Colusa,20.0,0.0,0.0,0.0,0.0,0.0,-0.34,0.13,76.8,0,284
201908,Lake,20.0,0.0,0.0,0.0,0.0,0.0,-0.34,0.13,76.8,0,284
201911,Riverside,19.0,0.0,0.0,0.0,0.0,0.0,-1.28,1.61,53.0,284,6
201910,Stanislaus,18.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.16,58.8,141,36
201906,Butte,29.0,0.0,0.0,0.0,0.0,0.0,2.97,0.09,71.1,32,134
201909,Shasta,16.0,0.0,0.0,0.0,0.0,0.0,-0.16,0.61,68.9,23,155
201909,Sanbernardino,15.0,0.0,0.0,0.0,0.0,0.0,-0.16,0.61,68.9,23,155
201907,Eldorado,13.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.08,75.5,3,244
201909,Alameda,11.0,0.0,0.0,0.0,0.0,0.0,-0.16,0.61,68.9,23,155
201909,Amador,10.0,1.0,0.0,0.0,0.0,0.0,-0.16,0.61,68.9,23,155
201907,Butte,10.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.08,75.5,3,244
201904,Butte,10.0,0.0,0.0,0.0,0.0,0.0,1.67,1.22,58.2,215,22
201906,Nevada,2.0,0.0,0.0,0.0,0.0,0.0,2.97,0.09,71.1,32,134
201911,Yolo,0.0,0.0,0.0,0.0,0.0,0.0,-1.28,1.61,53.0,284,6
