Started,County,AcresBurned,Injuries,Fatalities,StructuresDestroyed,StructuresDamaged,PropetyValue Damage,Drought Index,Precipitation,Temperature,Heating Degree Days,Cooling Degree Days
201710,Butte,14718.0,0.0,0.0,80.0,3.0,25077550.0,-1.86,0.7,63.1,116,57
201708,Mariposa,15219.0,0.0,0.0,0.0,0.0,0.0,-0.79,0.5,75.2,0,318
201708,Modoc,7752.0,0.0,0.0,0.0,0.0,0.0,-1.21,0.49,69.8,20,170
201709,Losangeles,7194.0,0.0,0.0,0.0,0.0,0.0,-2.7,0.24,71.2,11,197
201706,Riverside,6757.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,84.1,0,574
201707,Butte,6344.0,0.0,0.0,41.0,60.0,21292900.0,-1.06,0.0,80.0,0,463
201704,Fresno,6840.0,0.0,0.0,0.0,0.0,0.0,0.52,3.01,51.9,399,6
201707,Stanislaus,5328.0,0.0,0.0,0.0,0.0,0.0,-0.27,0.0,80.3,0,475
201707,Plumas,4310.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.03,68.8,24,142
201712,Sandiego,4100.0,0.0,0.0,157.0,64.0,114345000.0,-3.12,0.04,57.2,252,9
201708,Butte,4016.0,2.0,0.0,54.0,0.0,15714000.0,-1.34,0.01,79.2,0,442
201709,Riverside,3943.0,0.0,0.0,0.0,0.0,0.0,0.58,0.64,79.0,0,421
201707,Kern,6999.0,0.0,0.0,0.0,0.0,0.0,-0.34,0.01,84.0,0,588
201709,Orange,2662.0,0.0,0.0,0.0,0.0,0.0,-1.64,0.1,72.6,6,235
201709,Plumas,2654.0,0.0,0.0,0.0,0.0,0.0,-1.47,1.04,59.3,185,15
201708,Kings,2312.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,84.5,0,605
201707,Tulare,2843.0,0.0,0.0,0.0,0.0,0.0,-0.68,0.02,75.6,0,327
201707,Yolo,2269.0,4.0,0.0,0.0,0.0,0.0,-0.13,0.0,79.0,0,435
201710,Lake,2394.0,0.0,0.0,162.0,8.0,42745000.0,-2.49,0.42,61.5,133,25
201705,Sandiego,3567.0,0.0,0.0,0.0,0.0,0.0,-0.98,1.15,64.3,95,73
201707,Monterey,1856.0,0.0,0.0,0.0,0.0,0.0,-0.39,0.03,72.2,0,223
201705,Merced,1800.0,0.0,0.0,0.0,0.0,0.0,3.25,0.12,68.3,40,142
201709,Stanislaus,1749.0,0.0,0.0,0.0,0.0,0.0,-0.71,0.03,73.6,0,258
201707,Fresno,3335.0,0.0,0.0,5.0,0.0,1290000.0,-0.39,0.01,76.6,0,359
201706,Sanluisobispo,1748.0,0.0,0.0,4.0,0.0,3600000.0,-0.11,0.0,71.2,6,192
201706,Kern,3022.0,0.0,0.0,0.0,0.0,0.0,0.6,0.01,77.7,0,382
201706,Sanbernardino,2173.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,85.1,0,604
201706,Madera,1613.0,0.0,0.0,0.0,0.0,0.0,-0.43,0.14,70.3,22,182
201704,Riverside,1377.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,68.1,57,151
201709,Kern,1359.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.32,72.8,6,240
201707,Sacramento,1286.0,0.0,0.0,0.0,0.0,0.0,-0.29,0.0,80.4,0,476
201710,Sandiego,1294.0,0.0,0.0,0.0,0.0,0.0,-1.59,0.02,69.0,23,148
201708,Riverside,2121.0,0.0,0.0,0.0,0.0,0.0,0.21,0.57,87.5,0,698
201709,Madera,1512.0,0.0,0.0,4.0,0.0,1079600.0,-0.3,0.78,67.3,38,108
201708,Plumas,1206.0,0.0,0.0,0.0,0.0,0.0,-1.7,0.36,69.6,19,161
201709,Shasta,1020.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.44,68.4,35,137
201707,Mendocino,920.0,1.0,0.0,0.0,0.0,0.0,-1.37,0.01,70.5,5,176
201708,Yuba,867.0,0.0,0.0,0.0,0.0,0.0,-1.26,0.01,80.3,0,474
